gene,sample,expression,time
Asl,GSM2545336,1170,8
Apod,GSM2545336,36194,8
Cyp2d22,GSM2545336,4060,8
Klk6,GSM2545336,287,8
Fcrls,GSM2545336,85,8
Slc2a4,GSM2545336,782,8
Exd2,GSM2545336,1619,8
Gjc2,GSM2545336,288,8
Plp1,GSM2545336,43217,8
Gnb4,GSM2545336,1071,8
Tnc,GSM2545336,219,8
Trf,GSM2545336,9719,8
Tubb2b,GSM2545336,2245,8
Fads1,GSM2545336,6498,8
Lxn,GSM2545336,1744,8
Prr18,GSM2545336,1284,8
Cmtm5,GSM2545336,1381,8
Enpp1,GSM2545336,388,8
Clic4,GSM2545336,5795,8
Tm6sf2,GSM2545336,32,8
Slc20a2,GSM2545336,8044,8
Itih3,GSM2545336,5918,8
Ptn,GSM2545336,5156,8
Prodh,GSM2545336,2385,8
Msantd1,GSM2545336,85,8
Ugt8a,GSM2545336,1239,8
Fbln5,GSM2545336,1589,8
Trp53inp2,GSM2545336,8374,8
Slc7a3,GSM2545336,236,8
Dnase1l2,GSM2545336,169,8
Icosl,GSM2545336,1198,8
Rmnd1,GSM2545336,797,8
Tssk5,GSM2545336,368,8
Pycr1,GSM2545336,19,8
Pla2g3,GSM2545336,515,8
Vmn2r1,GSM2545336,116,8
Gm29797,GSM2545336,30,8
Phyhd1,GSM2545336,2154,8
Gpr146,GSM2545336,1520,8
Mag,GSM2545336,5250,8
Tufm,GSM2545336,1581,8
Igdcc4,GSM2545336,2101,8
Gm10654,GSM2545336,472,8
Ncmap,GSM2545336,143,8
Etv4,GSM2545336,208,8
Fabp7,GSM2545336,215,8
Cpsf4l,GSM2545336,7,8
Hexa,GSM2545336,1208,8
Mfge8,GSM2545336,1290,8
Ccdc136,GSM2545336,6225,8
Glul,GSM2545336,89445,8
Hopx,GSM2545336,3965,8
Pigq,GSM2545336,3353,8
Vps11,GSM2545336,4372,8
Proca1,GSM2545336,158,8
Fbxl22,GSM2545336,39,8
Sfxn5,GSM2545336,8426,8
Hexim2,GSM2545336,896,8
Agt,GSM2545336,8586,8
Rlbp1,GSM2545336,209,8
Jam2,GSM2545336,3033,8
Lcat,GSM2545336,1239,8
Oxct1,GSM2545336,11355,8
Cacna1e,GSM2545336,5200,8
Fa2h,GSM2545336,1254,8
Plxnb3,GSM2545336,724,8
Lman2l,GSM2545336,864,8
Dpy19l1,GSM2545336,2157,8
Kctd21,GSM2545336,549,8
Thra,GSM2545336,17222,8
Dok3,GSM2545336,78,8
Sult1a1,GSM2545336,1658,8
Rpe,GSM2545336,872,8
Acrbp,GSM2545336,231,8
Slc2a9,GSM2545336,190,8
Emp2,GSM2545336,993,8
Aipl1,GSM2545336,91,8
Uri1,GSM2545336,2955,8
Bcs1l,GSM2545336,343,8
Rbm3,GSM2545336,11184,8
Tra2a,GSM2545336,3405,8
Prex1,GSM2545336,3573,8
Josd2,GSM2545336,1132,8
Tmco3,GSM2545336,1289,8
Srebf1,GSM2545336,4044,8
Acer2,GSM2545336,983,8
Tsga10,GSM2545336,231,8
Cyp3a13,GSM2545336,238,8
Relt,GSM2545336,1147,8
Nrep,GSM2545336,26832,8
Slc14a1,GSM2545336,1344,8
Pnpla2,GSM2545336,2366,8
Map6d1,GSM2545336,1619,8
Ier5,GSM2545336,1233,8
Bfsp2,GSM2545336,60,8
Idi1,GSM2545336,465,8
Kat2b,GSM2545336,7775,8
Rmdn3,GSM2545336,4047,8
Eif4b,GSM2545336,12319,8
Grm4,GSM2545336,9157,8
Pink1,GSM2545336,27791,8
Mettl16,GSM2545336,752,8
Fam193b,GSM2545336,2226,8
Rtca,GSM2545336,2145,8
Fgfbp1,GSM2545336,188,8
Pigs,GSM2545336,2208,8
Cfp,GSM2545336,485,8
Desi1,GSM2545336,5120,8
Gbp4,GSM2545336,816,8
Nid1,GSM2545336,776,8
Armcx5,GSM2545336,1189,8
Cryab,GSM2545336,2328,8
Prss53,GSM2545336,73,8
Car4,GSM2545336,3195,8
Gm6277,GSM2545336,134,8
Amt,GSM2545336,709,8
Zc3h6,GSM2545336,1980,8
Aqp4,GSM2545336,15950,8
Tmem198b,GSM2545336,689,8
Abi3bp,GSM2545336,807,8
Xpa,GSM2545336,665,8
Aldh6a1,GSM2545336,5851,8
Adam1a,GSM2545336,440,8
Dynlt1a,GSM2545336,397,8
Gatm,GSM2545336,3748,8
H2-Q4,GSM2545336,535,8
Nras,GSM2545336,1472,8
Pla2g4e,GSM2545336,1064,8
Lpar1,GSM2545336,1535,8
Il12rb1,GSM2545336,154,8
Enpp6,GSM2545336,378,8
Ermn,GSM2545336,2737,8
Marcksl1,GSM2545336,880,8
Ubqln4,GSM2545336,2976,8
Glt8d1,GSM2545336,1129,8
Ddx25,GSM2545336,1990,8
Gpr17,GSM2545336,500,8
Cat,GSM2545336,2143,8
Wwox,GSM2545336,1317,8
Phkg1,GSM2545336,528,8
Ppp1r3f,GSM2545336,1479,8
Mrpl35,GSM2545336,1018,8
Nudt9,GSM2545336,2112,8
Lypd6,GSM2545336,2006,8
Spice1,GSM2545336,494,8
Tuba8,GSM2545336,1047,8
Spon1,GSM2545336,5825,8
Nfya,GSM2545336,831,8
Sc5d,GSM2545336,3473,8
Aldh18a1,GSM2545336,760,8
Ebp,GSM2545336,798,8
Srr,GSM2545336,2107,8
Gm14827,GSM2545336,198,8
Gm31135,GSM2545336,21,8
Adam17,GSM2545336,965,8
Slc39a2,GSM2545336,469,8
Snn,GSM2545336,7118,8
Hnrnpc,GSM2545336,7924,8
Srbd1,GSM2545336,366,8
Ptp4a1,GSM2545336,1395,8
Tppp,GSM2545336,8715,8
Stac3,GSM2545336,101,8
Emid1,GSM2545336,284,8
Cotl1,GSM2545336,5397,8
Ovgp1,GSM2545336,1301,8
Ssx2ip,GSM2545336,4386,8
Hsd3b7,GSM2545336,546,8
Kazald1,GSM2545336,372,8
Omd,GSM2545336,413,8
Bcas1,GSM2545336,5485,8
Gm9925,GSM2545336,689,8
Dleu2,GSM2545336,247,8
Chil3,GSM2545336,111,8
Deaf1,GSM2545336,3343,8
Dusp19,GSM2545336,205,8
Gkn3,GSM2545336,25,8
Pllp,GSM2545336,1134,8
Sox2ot,GSM2545336,596,8
Ntf3,GSM2545336,75,8
Lum,GSM2545336,136,8
Gm20751,GSM2545336,240,8
Thnsl2,GSM2545336,274,8
Slc2a4rg-ps,GSM2545336,273,8
Agpat5,GSM2545336,3065,8
Mdk,GSM2545336,690,8
Penk,GSM2545336,4674,8
Cirbp,GSM2545336,7079,8
Aloxe3,GSM2545336,703,8
Nudt5,GSM2545336,404,8
Serpinb1a,GSM2545336,353,8
Mt1,GSM2545336,15774,8
Fgfr3,GSM2545336,5921,8
Myo1d,GSM2545336,552,8
Cd99l2,GSM2545336,3092,8
C2cd2,GSM2545336,820,8
Brsk2,GSM2545336,8578,8
Mrrf,GSM2545336,481,8
Snhg4,GSM2545336,404,8
Hmgcs1,GSM2545336,5441,8
Stk17b,GSM2545336,3853,8
Cyp51,GSM2545336,1787,8
Gria4,GSM2545336,19381,8
Ttyh1,GSM2545336,35445,8
Slc13a1,GSM2545336,75,8
Phf7,GSM2545336,364,8
Get4,GSM2545336,1766,8
Gstm1,GSM2545336,12043,8
Fbxo31,GSM2545336,3869,8
Padi2,GSM2545336,890,8
Gnmt,GSM2545336,327,8
Paip2b,GSM2545336,5199,8
Slc17a9,GSM2545336,66,8
Vopp1,GSM2545336,1574,8
Ogdhl,GSM2545336,5470,8
Dcaf12,GSM2545336,2537,8
Rorc,GSM2545336,1565,8
Cp,GSM2545336,2265,8
Jade2,GSM2545336,3370,8
Nbl1,GSM2545336,5297,8
Hsph1,GSM2545336,3818,8
Serf2,GSM2545336,3264,8
Rasgef1a,GSM2545336,5400,8
Prrg1,GSM2545336,373,8
Etnppl,GSM2545336,9066,8
Cyp4f15,GSM2545336,288,8
Ankrd29,GSM2545336,989,8
Gm27252,GSM2545336,156,8
Kctd2,GSM2545336,4345,8
Iigp1,GSM2545336,299,8
Ak4,GSM2545336,4031,8
Idh2,GSM2545336,2188,8
Camkk1,GSM2545336,3772,8
Rftn2,GSM2545336,1182,8
Igtp,GSM2545336,372,8
Bche,GSM2545336,338,8
Marcks,GSM2545336,6007,8
Pabpc4,GSM2545336,747,8
Pmp22,GSM2545336,1404,8
Car14,GSM2545336,1636,8
Serpinh1,GSM2545336,753,8
Ppp1r13b,GSM2545336,3771,8
Tfrc,GSM2545336,10468,8
Smox,GSM2545336,3239,8
Tjap1,GSM2545336,614,8
Msmo1,GSM2545336,1666,8
Slc26a8,GSM2545336,243,8
Eml3,GSM2545336,1897,8
Csf2ra,GSM2545336,354,8
Rnf141,GSM2545336,3030,8
Slc25a16,GSM2545336,2086,8
Echdc1,GSM2545336,1157,8
Eid2b,GSM2545336,1163,8
Piga,GSM2545336,428,8
Ccdc149,GSM2545336,1719,8
Car15,GSM2545336,374,8
Eny2,GSM2545336,3848,8
Mroh1,GSM2545336,5434,8
Pcyox1l,GSM2545336,597,8
Ankrd39,GSM2545336,667,8
Timeless,GSM2545336,590,8
Sparc,GSM2545336,69090,8
Slc7a10,GSM2545336,1347,8
Ppp1r2,GSM2545336,6102,8
Psmf1,GSM2545336,1693,8
Adat1,GSM2545336,192,8
Slc6a12,GSM2545336,343,8
Snhg3,GSM2545336,404,8
Prg4,GSM2545336,1197,8
Plod1,GSM2545336,771,8
Whamm,GSM2545336,1483,8
Ttpa,GSM2545336,428,8
Thbs3,GSM2545336,401,8
Gltp,GSM2545336,1421,8
Pex6,GSM2545336,1489,8
Aim2,GSM2545336,305,8
Ednrb,GSM2545336,5386,8
Nuf2,GSM2545336,114,8
Mog,GSM2545336,2065,8
Ccl27a,GSM2545336,1441,8
Tac4,GSM2545336,45,8
Snhg8,GSM2545336,616,8
Ak6,GSM2545336,263,8
Kctd20,GSM2545336,2738,8
Itgb4,GSM2545336,569,8
Zfp810,GSM2545336,970,8
Gm33489,GSM2545336,85,8
Gna12,GSM2545336,1577,8
Cyp4v3,GSM2545336,978,8
Pkp4,GSM2545336,10610,8
Agpat1,GSM2545336,2306,8
Gipr,GSM2545336,90,8
Edn3,GSM2545336,186,8
Prr15,GSM2545336,90,8
Traf1,GSM2545336,165,8
Pim2,GSM2545336,1226,8
Lrrc8a,GSM2545336,5236,8
Erp44,GSM2545336,1654,8
Tmem33,GSM2545336,5212,8
Fen1,GSM2545336,989,8
Tfap4,GSM2545336,571,8
